Provinsi,woe_name
NA,id-3700
Aceh,id-ac
Jawa Tengah,id-jt
Jambi,id-be
Banten,id-bt
Kalimantan Barat,id-kb
Jambi,id-bb
Bali,id-ba
Jawa Timur,id-ji
Kalimantan Selatan,id-ks
Nusa Tenggara Timur,id-nt
Sulawesi Selatan,id-se
Sumatera Selatan,id-kr
Maluku Utara,id-ib
Sumatera Utara,id-su
Riau,id-ri
Sulawesi Utara,id-sw
Riau,id-ku
Maluku Utara,id-la
Sumatera Barat,id-sb
Maluku,id-ma
Nusa Tenggara Barat,id-nb
Riau,id-sg
Sulawesi Tengah,id-st
Papua,id-pa
Jawa Barat,id-jr
Kalimantan Timur,id-ki
Lampung,id-1024
DKI Jakarta,id-jk
Nusa Tenggara Timur,id-go
Yogyakarta,id-yo
Sumatera Selatan,id-sl
Aceh,id-sr
Jambi,id-ja
Kalimantan Tengah,id-kt
